GroupID,OwnerPersonId
G-3001,3001
G-3003,3003
G-3004,3004
G-3005,3005
G-3006,3007
G-3008,3008
G-3009,3010
G-3011,3011
G-3013,3013
G-3016,3016
G-3019,3019
G-3020,3021
G-3022,3022
G-3024,3024
G-3027,3027
G-3028,3028
G-3030,3030
G-3032,3032
G-3034,3034
G-3036,3036
G-3037,3038
G-3039,3039
G-3041,3041
G-3043,3043
G-3046,3046
G-3048,3048
G-3049,3049
G-3052,3052
G-3053,3054
G-3056,3056
G-3058,3058
G-3061,3061
G-3062,3062
G-3064,3064
G-3067,3067
G-3069,3069
G-3071,3071
G-3074,3074
G-3077,3079
G-3080,3080
